Record_ID,Year,Country,Region,Income_Level,Depression_Rate_Pct,Anxiety_Rate_Pct,Bipolar_Disorder_Rate_Pct,Schizophrenia_Rate_Pct,PTSD_Rate_Pct,Eating_Disorder_Rate_Pct,Substance_Use_Disorder_Pct,Suicide_Rate_Per_100k,Treatment_Gap_Pct,Healthcare_Access_Index,Psychiatrists_Per_100k,Govt_MentalHealth_Spending_PctGDP,Avg_Daily_Screen_Time_Hours,Unemployment_Rate_Pct,Urbanization_Rate_Pct,Social_Support_Index,Stigma_Index,Mental_Health_Crisis_Index,Crisis_Level
GMHCI-0133,2015,Vietnam,Asia,Lower-Middle,10.59,10.35,2.44,1.171,7.29,3.49,11.66,12.0,70.4,31.5,0.63,0.64,8.0,27.3,72.3,35.5,69.4,61.97,High
GMHCI-0134,2020,Brazil,South America,Upper-Middle,10.3,13.19,2.59,1.071,4.63,1.93,1.58,17.77,70.4,49.5,2.48,5.34,7.5,6.2,63.6,61.6,46.4,68.71,High
GMHCI-0135,2018,Kenya,Africa,Lower-Middle,6.83,10.09,0.76,0.552,4.78,3.37,2.27,9.38,84.0,49.4,0.93,1.41,4.2,3.2,58.3,34.2,58.2,53.27,High
GMHCI-0136,2019,Ghana,Africa,Lower-Middle,9.56,13.61,2.09,0.659,4.69,1.67,9.63,10.21,77.0,20.8,0.89,1.17,8.1,12.3,42.3,83.4,72.4,62.48,High
GMHCI-0137,2022,Spain,Europe,High,17.94,21.94,2.42,0.65,3.17,3.0,6.02,8.15,29.2,77.2,16.9,8.7,5.5,25.3,27.2,68.8,30.7,65.26,High
GMHCI-0138,2021,Brazil,South America,Upper-Middle,10.48,11.04,0.51,1.123,7.03,1.69,10.17,12.86,56.6,64.1,3.88,4.23,4.9,27.5,34.5,29.9,38.5,56.89,High
GMHCI-0139,2018,Norway,Europe,High,13.11,14.05,2.15,0.957,6.99,0.56,6.22,8.72,53.8,71.5,17.02,5.91,5.2,8.1,34.5,30.0,20.2,54.36,High
GMHCI-0140,2022,Germany,Europe,High,17.27,17.61,1.65,0.486,2.64,2.52,9.42,4.74,51.0,86.6,21.69,4.17,9.9,17.9,48.5,69.7,19.3,57.28,High
GMHCI-0141,2019,Spain,Europe,High,9.66,20.99,0.92,0.79,5.13,0.84,8.82,9.98,38.9,87.8,21.33,6.99,8.7,8.7,46.0,78.9,15.3,54.61,High
GMHCI-0142,2020,India,Asia,Lower-Middle,10.78,9.81,3.31,0.478,1.19,1.34,10.07,9.5,74.7,39.8,0.23,1.48,7.4,20.3,28.9,29.4,54.9,56.75,High
GMHCI-0143,2023,Argentina,South America,Upper-Middle,9.66,15.45,1.72,0.823,5.64,2.81,7.22,17.74,67.9,46.6,9.25,3.74,3.5,16.2,90.0,36.4,54.9,70.73,High
GMHCI-0144,2023,Netherlands,Europe,High,13.85,13.48,0.73,0.747,8.54,0.57,10.68,5.14,54.2,72.8,11.71,4.71,6.2,4.3,25.5,62.0,19.4,49.84,Moderate
GMHCI-0145,2020,Poland,Europe,Upper-Middle,6.22,10.99,3.49,0.788,4.91,2.45,1.77,17.4,56.8,54.8,5.42,3.76,10.6,13.4,69.6,39.9,42.1,57.81,High
GMHCI-0146,2016,Egypt,Africa,Lower-Middle,11.61,7.93,3.42,1.079,3.84,2.92,4.21,10.99,74.2,27.1,1.48,0.93,4.0,3.6,86.2,58.9,74.8,61.18,High
GMHCI-0147,2017,Germany,Europe,High,16.41,20.57,2.94,1.048,8.21,1.77,6.25,6.65,47.5,77.1,21.17,11.21,7.4,27.9,71.7,76.1,28.9,62.33,High
GMHCI-0148,2017,France,Europe,High,13.83,18.56,0.97,0.252,5.64,0.61,10.37,6.91,49.5,80.6,15.41,9.88,9.5,27.6,56.3,35.9,28.5,57.53,High
GMHCI-0149,2016,Egypt,Africa,Lower-Middle,7.99,10.37,1.36,0.796,8.52,1.46,11.26,10.33,72.8,23.2,1.23,2.37,7.1,2.1,52.2,52.9,73.3,57.01,High
GMHCI-0150,2023,Mexico,North America,Upper-Middle,8.84,12.2,1.42,1.085,5.73,1.61,10.95,15.37,74.1,61.9,6.72,4.28,3.6,5.7,66.2,91.3,44.2,62.69,High
GMHCI-0151,2017,Philippines,Asia,Lower-Middle,7.1,9.24,2.96,0.444,8.49,2.97,2.22,9.65,76.7,23.1,1.75,1.65,4.5,17.4,76.1,53.1,72.7,54.31,High
GMHCI-0152,2018,Bangladesh,Asia,Lower-Middle,6.26,5.71,1.52,0.518,5.67,1.33,6.59,9.95,82.6,48.5,1.38,1.55,8.3,4.9,61.6,72.2,60.1,49.36,Moderate
GMHCI-0153,2024,New Zealand,Oceania,High,10.09,21.3,1.28,0.426,6.07,1.21,10.36,11.22,40.6,97.3,9.59,8.98,4.4,4.6,94.1,41.6,0.0,55.18,High
GMHCI-0154,2020,Spain,Europe,High,8.45,13.41,2.1,1.121,1.4,1.33,10.58,9.44,50.0,84.8,10.43,11.85,4.3,12.0,66.2,91.1,8.7,46.0,Moderate
GMHCI-0155,2020,Brazil,South America,Upper-Middle,9.56,15.23,2.39,0.715,1.29,0.64,7.63,8.57,74.1,64.3,4.67,3.52,9.1,25.8,80.7,70.7,39.1,56.23,High
GMHCI-0156,2018,Iran,Asia,Upper-Middle,9.15,11.07,3.42,0.383,7.5,0.74,6.55,12.11,71.2,66.5,9.67,2.09,6.6,14.0,93.7,52.5,42.2,56.82,High
GMHCI-0157,2017,Japan,Asia,High,16.47,17.43,2.42,0.948,5.16,1.57,8.19,5.34,27.2,90.8,23.77,9.02,3.2,17.8,68.9,67.6,12.4,52.16,High
GMHCI-0158,2017,Germany,Europe,High,9.51,12.79,2.35,0.915,4.28,3.2,11.36,11.1,27.5,80.3,15.63,7.27,9.7,12.3,72.4,82.4,27.6,48.6,Moderate
GMHCI-0159,2023,Ethiopia,Africa,Low,8.87,9.66,3.28,0.994,1.42,1.13,5.19,5.83,94.4,7.7,0.26,0.38,4.9,22.7,61.6,68.9,83.3,56.14,High
GMHCI-0160,2018,United States,North America,High,10.89,16.87,1.35,0.909,6.84,1.02,10.47,11.65,25.6,96.5,18.47,7.56,10.4,19.3,59.0,84.0,1.3,50.76,High
GMHCI-0161,2016,Philippines,Asia,Lower-Middle,7.59,6.49,0.98,0.655,1.09,1.07,5.0,5.95,83.3,48.7,1.22,2.26,3.7,6.5,57.0,22.7,42.7,43.86,Moderate
GMHCI-0162,2024,Russia,Europe,Upper-Middle,12.32,14.07,2.42,0.916,2.38,3.55,7.68,11.93,55.8,59.5,7.35,3.32,7.0,9.6,38.1,77.7,43.8,61.58,High
GMHCI-0163,2024,Turkey,Asia,Upper-Middle,6.36,12.25,3.37,0.623,8.12,0.91,11.88,6.02,53.5,48.8,5.74,2.93,10.4,7.0,40.8,22.8,43.9,43.1,Moderate
GMHCI-0164,2017,Colombia,South America,Upper-Middle,13.22,10.13,1.88,1.191,2.83,1.82,6.47,15.83,52.2,55.7,8.45,4.48,5.0,7.9,53.9,29.5,44.4,64.21,High
GMHCI-0165,2022,Spain,Europe,High,14.31,19.26,1.45,0.264,4.62,1.71,5.2,6.27,42.4,97.2,8.83,4.9,4.8,14.4,46.1,71.9,0.0,52.58,High
GMHCI-0166,2019,Indonesia,Asia,Lower-Middle,11.37,12.87,1.32,0.831,8.19,1.98,10.8,9.38,81.2,27.9,1.22,1.0,4.7,14.2,64.4,73.7,70.4,63.51,High
GMHCI-0167,2024,South Korea,Asia,High,13.68,13.4,2.2,0.989,6.22,0.86,7.99,11.58,41.0,96.1,15.59,7.25,7.0,24.1,34.3,69.3,12.0,55.34,High
GMHCI-0168,2024,Mexico,North America,Upper-Middle,14.27,13.5,0.73,1.122,3.82,2.71,4.23,8.57,53.3,74.1,2.46,2.92,4.3,14.6,46.6,57.9,31.2,56.83,High
GMHCI-0169,2015,Vietnam,Asia,Lower-Middle,10.92,5.74,3.13,0.275,4.71,3.01,4.97,4.0,72.0,38.5,0.48,2.12,4.8,20.9,56.5,56.9,70.6,47.55,Moderate
GMHCI-0170,2017,Japan,Asia,High,12.38,19.46,2.24,0.511,6.16,1.11,4.85,9.28,40.2,77.9,21.87,11.68,6.2,11.7,93.8,84.3,20.3,56.97,High
GMHCI-0171,2015,France,Europe,High,17.5,15.13,1.75,1.161,8.14,1.65,5.87,10.24,36.6,96.1,22.31,4.37,7.6,21.1,50.4,93.8,7.1,58.95,High
GMHCI-0172,2023,China,Asia,Upper-Middle,7.66,13.37,1.38,0.895,8.87,1.13,4.15,7.83,57.9,73.0,2.78,3.05,10.0,27.4,90.2,83.6,36.5,48.01,Moderate
GMHCI-0173,2019,China,Asia,Upper-Middle,9.55,14.77,2.61,0.355,1.21,2.92,8.48,17.5,61.8,47.0,7.37,3.0,5.2,19.0,38.0,33.9,48.5,67.73,High
GMHCI-0174,2022,Germany,Europe,High,17.25,20.24,1.01,1.189,7.12,2.53,10.48,6.28,49.1,88.5,14.21,4.84,3.9,8.8,88.6,72.5,8.2,59.83,High
GMHCI-0175,2016,Iran,Asia,Upper-Middle,14.43,10.54,1.11,0.973,6.25,2.35,2.71,17.83,62.3,59.3,8.48,2.61,5.0,10.2,90.5,69.0,42.6,70.31,High
GMHCI-0176,2020,Mexico,North America,Upper-Middle,12.3,15.57,2.65,0.498,1.77,2.88,5.15,15.82,56.3,47.1,9.2,3.37,3.3,10.2,67.5,77.6,44.3,68.47,High
GMHCI-0177,2024,Spain,Europe,High,15.87,11.48,1.97,0.581,3.76,1.76,3.57,15.53,35.3,96.2,18.79,5.05,3.5,10.5,70.4,30.7,3.8,60.02,High
GMHCI-0178,2020,South Korea,Asia,High,17.24,10.67,3.36,0.3,1.43,2.86,4.03,10.36,44.3,79.7,18.1,6.92,7.7,12.9,66.4,90.3,27.2,58.89,High
GMHCI-0179,2015,South Korea,Asia,High,9.35,11.13,3.42,0.814,3.82,2.48,9.43,5.12,51.2,71.7,21.39,4.81,8.8,10.3,87.9,67.8,37.3,43.65,Moderate
GMHCI-0180,2019,Philippines,Asia,Lower-Middle,5.95,11.56,0.55,0.468,3.82,3.86,9.7,4.7,74.6,48.3,1.42,0.95,7.5,3.5,65.3,52.1,50.0,44.22,Moderate
GMHCI-0181,2023,Norway,Europe,High,10.89,12.83,1.8,0.627,7.67,3.68,10.82,14.36,49.9,92.6,15.81,8.37,8.9,6.8,79.1,81.1,0.0,54.37,High
GMHCI-0182,2015,Italy,Europe,High,8.0,16.01,2.55,0.242,8.67,1.82,9.23,10.32,28.4,93.8,12.74,11.37,5.8,6.6,48.0,26.8,3.2,44.83,Moderate
GMHCI-0183,2021,China,Asia,Upper-Middle,12.57,14.93,2.61,0.859,5.88,0.62,3.7,17.59,70.8,51.1,7.25,3.44,4.8,6.8,26.4,26.2,47.8,73.47,High
GMHCI-0184,2023,Thailand,Asia,Upper-Middle,11.89,14.65,2.66,0.719,1.26,2.02,8.57,5.43,57.1,72.6,6.21,3.98,5.4,11.8,25.5,42.4,28.1,50.33,High
GMHCI-0185,2017,Norway,Europe,High,10.38,18.49,0.7,0.777,1.67,1.14,2.97,7.47,27.5,90.4,20.63,8.74,9.0,15.7,33.3,34.7,13.8,47.88,Moderate
GMHCI-0186,2021,South Africa,Africa,Upper-Middle,13.33,11.24,2.61,0.216,4.28,3.25,2.92,15.83,67.6,67.1,7.77,5.36,5.0,24.5,54.0,94.5,42.0,67.37,High
GMHCI-0187,2018,Brazil,South America,Upper-Middle,6.14,10.91,2.89,1.147,4.29,1.13,5.16,9.04,67.3,50.4,4.78,3.85,9.5,14.2,57.1,88.0,50.7,48.91,Moderate
GMHCI-0188,2019,Russia,Europe,Upper-Middle,14.7,16.46,2.84,0.463,1.04,2.25,6.71,16.48,56.8,70.8,7.52,5.64,9.7,10.5,35.9,33.9,33.1,71.93,High
GMHCI-0189,2024,Spain,Europe,High,10.28,11.21,0.59,0.922,4.28,3.34,6.55,8.0,46.1,96.7,19.29,9.44,4.2,20.1,90.6,47.1,0.0,42.64,Moderate
GMHCI-0190,2021,United Kingdom,Europe,High,16.52,10.63,2.05,0.727,5.2,2.63,8.01,4.33,34.8,74.8,10.16,7.64,3.3,10.2,64.5,20.4,30.5,48.52,Moderate
GMHCI-0191,2024,United States,North America,High,14.84,15.52,1.49,0.608,8.5,1.79,9.96,7.8,50.5,77.4,14.41,5.88,5.6,9.0,70.0,83.0,25.8,57.15,High
GMHCI-0192,2018,Canada,North America,High,9.09,19.75,2.56,0.89,5.07,3.19,9.02,6.04,26.7,80.2,11.66,9.38,8.6,13.1,86.3,57.1,18.0,45.76,Moderate
GMHCI-0193,2017,France,Europe,High,10.58,10.42,1.83,0.807,6.63,3.53,9.59,11.58,39.7,82.8,16.12,9.53,7.4,21.4,38.4,62.1,22.8,49.75,Moderate
GMHCI-0194,2015,Japan,Asia,High,11.62,11.72,2.57,0.858,4.75,3.45,7.34,13.6,30.3,84.6,11.33,8.31,5.5,14.2,73.8,60.0,5.8,51.19,High
GMHCI-0195,2017,Ukraine,Europe,Lower-Middle,7.12,10.92,0.68,0.512,5.44,2.41,6.56,5.62,73.6,33.6,1.62,1.53,8.5,15.5,79.1,92.4,68.6,49.18,Moderate
GMHCI-0196,2021,Australia,Oceania,High,11.3,12.38,3.11,0.699,4.2,0.94,8.58,12.87,33.8,92.1,15.97,7.26,4.8,27.9,76.9,45.4,16.4,52.46,High
GMHCI-0197,2015,Italy,Europe,High,16.93,12.09,2.39,0.272,2.5,3.56,9.33,11.18,54.6,86.1,18.14,7.51,5.9,21.9,40.3,55.7,19.6,61.33,High
GMHCI-0198,2023,Mexico,North America,Upper-Middle,8.63,17.53,2.59,0.63,7.63,1.51,9.06,17.92,57.2,67.3,5.52,2.63,9.1,7.7,44.3,23.3,23.9,65.15,High
GMHCI-0199,2022,Vietnam,Asia,Lower-Middle,10.2,13.7,2.28,1.016,4.61,0.91,8.46,8.36,70.6,43.4,0.53,2.15,6.8,21.7,77.6,59.9,62.4,58.4,High
GMHCI-0200,2017,Argentina,South America,Upper-Middle,7.5,16.98,2.56,0.857,4.03,2.36,6.85,6.51,69.6,56.6,5.78,2.59,9.2,25.5,41.9,37.6,47.5,52.67,High
GMHCI-0201,2018,Australia,Oceania,High,10.1,19.87,2.02,0.974,7.11,0.7,3.49,10.84,43.4,88.8,16.74,5.73,10.5,11.8,57.9,87.2,17.4,56.4,High
GMHCI-0202,2021,Pakistan,Asia,Lower-Middle,4.87,6.72,3.46,0.783,8.11,2.07,5.25,4.02,81.2,42.9,0.41,1.83,4.6,8.5,25.4,55.7,55.4,39.19,Moderate
GMHCI-0203,2022,France,Europe,High,11.89,17.99,2.45,0.603,5.14,0.97,10.11,13.13,37.3,79.9,14.81,10.15,4.1,23.7,97.6,41.0,26.1,60.73,High
GMHCI-0204,2020,Colombia,South America,Upper-Middle,7.59,11.25,1.96,0.715,6.83,0.83,4.56,7.22,70.7,70.2,8.73,3.66,9.5,17.6,47.5,20.6,29.0,45.97,Moderate
GMHCI-0205,2017,Kenya,Africa,Lower-Middle,5.9,10.52,1.36,1.166,5.35,1.43,9.97,3.35,77.3,45.6,1.35,0.52,3.9,20.9,91.3,45.3,49.8,41.71,Moderate
GMHCI-0206,2024,Norway,Europe,High,13.51,10.9,1.18,1.07,6.34,0.96,8.27,13.92,49.4,85.7,21.02,9.11,5.7,22.7,82.4,85.9,16.7,58.07,High
GMHCI-0207,2018,Ethiopia,Africa,Low,7.99,8.65,1.17,1.059,2.21,3.71,7.02,4.09,91.5,15.7,0.24,0.31,3.3,12.7,92.0,86.5,93.1,52.61,High
GMHCI-0208,2021,United Kingdom,Europe,High,10.3,13.69,3.14,1.196,2.95,2.73,9.4,5.48,50.7,77.3,21.42,4.08,10.0,19.7,95.3,78.0,18.9,44.96,Moderate
GMHCI-0209,2017,Netherlands,Europe,High,13.37,13.19,0.52,0.244,3.62,2.75,4.77,15.54,48.7,85.9,16.33,5.57,9.7,27.2,77.3,65.1,22.8,63.02,High
GMHCI-0210,2022,France,Europe,High,14.12,12.85,2.26,0.446,2.2,3.12,9.27,15.77,51.5,96.9,8.75,11.99,7.0,8.9,35.9,36.8,0.0,61.08,High
GMHCI-0211,2017,Russia,Europe,Upper-Middle,13.98,15.34,2.67,0.921,7.13,0.56,10.28,5.41,53.2,75.0,5.81,5.13,4.7,7.6,75.5,69.0,19.6,51.96,High
GMHCI-0212,2017,Ukraine,Europe,Lower-Middle,4.58,5.01,2.96,0.797,5.74,2.01,3.55,8.32,79.5,35.9,1.64,1.99,6.4,19.2,85.2,79.4,72.6,45.53,Moderate
GMHCI-0213,2023,South Africa,Africa,Upper-Middle,7.27,10.91,3.17,0.711,5.18,1.52,2.55,9.86,51.2,58.7,9.65,5.79,9.3,7.1,77.5,51.2,42.0,47.85,Moderate
GMHCI-0214,2016,Egypt,Africa,Lower-Middle,5.88,5.47,1.04,0.967,7.76,2.82,7.99,8.86,77.9,34.6,0.21,1.02,3.8,23.5,60.0,94.5,60.5,46.44,Moderate
GMHCI-0215,2018,Russia,Europe,Upper-Middle,6.03,12.05,3.15,0.774,6.71,1.05,6.23,10.93,62.1,70.1,6.26,4.22,7.8,5.2,31.7,90.5,29.2,48.4,Moderate
GMHCI-0216,2018,South Africa,Africa,Upper-Middle,13.81,8.62,1.81,0.68,1.23,2.01,5.98,6.32,51.9,51.1,9.65,3.09,9.2,25.3,72.4,29.7,47.5,50.86,High
GMHCI-0217,2021,Thailand,Asia,Upper-Middle,14.96,8.29,2.86,1.165,8.97,3.33,7.37,11.0,66.2,66.1,6.56,4.9,3.8,2.6,56.3,31.6,33.1,58.69,High
GMHCI-0218,2023,South Africa,Africa,Upper-Middle,14.71,11.88,1.74,0.271,2.52,2.43,2.12,13.4,65.1,63.7,7.12,2.97,8.7,25.1,35.0,70.3,39.3,65.7,High
GMHCI-0219,2018,Argentina,South America,Upper-Middle,11.78,10.73,0.95,0.674,1.77,2.64,6.31,17.41,71.3,66.4,9.82,2.07,5.1,14.0,41.1,31.2,36.3,66.65,High
GMHCI-0220,2020,Ukraine,Europe,Lower-Middle,7.02,5.04,0.76,0.877,7.5,3.5,7.52,10.87,76.2,48.6,0.33,2.4,5.5,20.6,36.0,71.8,42.2,47.42,Moderate
GMHCI-0221,2020,Tanzania,Africa,Low,6.93,7.29,1.21,0.925,4.19,3.05,7.25,4.33,97.6,21.5,0.5,0.54,4.1,9.3,31.7,88.5,76.0,48.6,Moderate
GMHCI-0222,2018,Ethiopia,Africa,Low,7.12,5.87,3.2,0.253,7.29,1.33,5.67,7.94,92.8,21.3,0.47,0.24,3.9,22.9,47.9,74.8,75.8,51.83,High
GMHCI-0223,2015,United Kingdom,Europe,High,16.33,15.58,2.48,1.195,1.66,3.24,11.72,6.62,41.7,75.4,24.33,8.42,4.2,2.4,53.5,66.5,25.2,56.2,High
GMHCI-0224,2021,Mexico,North America,Upper-Middle,10.1,17.09,3.05,1.162,2.79,1.59,10.81,7.93,55.8,51.5,9.51,3.43,6.8,3.8,54.3,84.7,39.4,55.03,High
GMHCI-0225,2020,Brazil,South America,Upper-Middle,11.23,17.16,2.47,1.197,4.03,0.5,6.44,9.99,59.2,70.9,7.47,5.47,4.8,20.3,82.9,69.7,34.6,59.32,High
GMHCI-0226,2015,Netherlands,Europe,High,13.77,17.44,1.95,1.133,3.19,1.24,9.94,8.56,47.1,81.0,11.92,9.83,8.6,6.7,89.6,47.0,11.3,55.77,High
GMHCI-0227,2017,China,Asia,Upper-Middle,11.68,10.04,2.51,0.864,3.9,3.87,11.55,10.09,75.0,66.7,7.04,4.2,11.0,15.1,50.2,51.7,41.9,57.13,High
GMHCI-0228,2019,India,Asia,Lower-Middle,9.25,11.16,1.37,1.111,5.73,1.63,3.79,3.16,82.3,44.2,1.25,1.51,4.1,18.6,65.4,42.3,53.6,48.02,Moderate
GMHCI-0229,2024,United States,North America,High,10.99,20.0,1.06,0.61,1.13,2.44,1.96,13.19,35.8,74.0,18.86,6.76,7.5,22.6,91.1,72.3,26.3,61.19,High
GMHCI-0230,2019,South Africa,Africa,Upper-Middle,10.37,9.94,1.9,1.069,8.44,1.24,9.32,5.68,68.9,75.0,6.25,5.4,5.3,20.0,65.8,42.5,34.2,47.0,Moderate
GMHCI-0231,2020,Netherlands,Europe,High,9.15,12.49,3.33,0.987,6.04,1.28,5.15,12.15,29.9,78.9,18.85,7.96,4.4,19.3,46.7,45.9,20.7,48.62,Moderate
GMHCI-0232,2017,Germany,Europe,High,13.2,17.54,1.7,1.064,8.78,1.82,6.25,14.29,45.5,91.5,20.01,4.1,8.5,7.9,44.5,50.5,2.5,61.47,High
GMHCI-0233,2021,Bangladesh,Asia,Lower-Middle,8.56,7.29,3.43,1.163,6.76,2.48,9.07,6.43,73.2,42.2,0.84,1.98,10.7,14.2,53.2,20.4,55.6,46.99,Moderate
GMHCI-0234,2019,Italy,Europe,High,13.88,11.57,2.89,0.95,2.58,3.45,1.79,4.44,36.4,88.6,13.17,9.75,10.0,6.7,50.7,21.1,2.3,41.88,Moderate
GMHCI-0235,2019,South Africa,Africa,Upper-Middle,11.82,13.69,1.32,0.713,6.99,3.26,4.43,10.18,63.2,62.6,3.38,2.09,10.3,20.5,32.4,92.5,38.2,58.4,High
GMHCI-0236,2022,Netherlands,Europe,High,16.6,14.48,0.89,0.514,4.89,2.51,8.88,14.46,28.8,90.6,10.2,7.3,5.0,27.1,40.9,44.1,15.3,63.01,High
GMHCI-0237,2015,Brazil,South America,Upper-Middle,12.73,16.26,1.3,0.926,7.28,3.26,10.05,10.22,59.3,46.5,4.22,4.23,3.9,12.4,69.8,81.7,61.1,64.9,High
GMHCI-0238,2018,Bangladesh,Asia,Lower-Middle,4.75,12.25,2.19,1.194,3.54,2.43,7.59,3.92,72.7,33.9,0.75,2.08,7.3,27.9,89.8,68.7,69.2,44.69,Moderate
GMHCI-0239,2024,Italy,Europe,High,12.82,18.83,2.31,0.832,4.17,1.11,2.43,15.64,39.8,79.6,18.01,9.47,8.2,4.7,34.3,67.7,22.7,66.14,High
GMHCI-0240,2021,Colombia,South America,Upper-Middle,9.89,11.86,1.45,0.56,5.51,2.99,6.11,6.27,59.6,45.3,6.15,4.48,6.3,27.2,74.2,23.6,61.5,51.57,High
GMHCI-0241,2020,Canada,North America,High,12.32,19.11,2.33,0.822,8.74,3.24,5.84,12.8,31.8,95.1,12.45,10.43,3.2,6.1,61.3,76.2,0.0,57.13,High
GMHCI-0242,2021,South Korea,Asia,High,8.23,20.03,2.72,0.459,6.01,3.75,9.63,15.96,33.3,85.8,19.0,9.02,7.0,3.1,79.1,45.8,8.9,58.24,High
GMHCI-0243,2023,Russia,Europe,Upper-Middle,7.71,12.89,0.73,0.566,1.56,1.66,11.58,5.96,65.7,49.6,5.05,5.8,7.6,14.4,94.2,84.4,52.7,48.67,Moderate
GMHCI-0244,2016,Italy,Europe,High,16.39,13.91,2.55,0.305,3.63,3.59,8.54,12.45,35.6,79.8,20.58,4.05,10.6,25.9,50.8,47.9,21.9,61.43,High
GMHCI-0245,2015,Canada,North America,High,10.52,16.18,0.9,0.969,3.7,3.74,7.01,12.63,46.7,86.5,11.56,8.59,10.2,18.1,73.6,87.4,11.2,55.69,High
GMHCI-0246,2018,Poland,Europe,Upper-Middle,8.13,14.78,2.69,0.505,6.35,1.19,11.35,6.05,57.9,60.3,6.51,5.3,8.8,21.7,74.9,42.7,36.5,47.47,Moderate
GMHCI-0247,2020,Norway,Europe,High,16.27,10.38,1.27,0.304,4.57,2.5,3.02,8.48,49.8,93.1,10.34,5.5,9.9,19.3,77.2,72.6,3.3,51.93,High
GMHCI-0248,2016,Ukraine,Europe,Lower-Middle,5.53,9.49,3.23,0.337,7.76,2.07,9.93,10.26,74.5,41.7,0.11,1.42,10.8,19.8,42.9,20.8,49.6,49.4,Moderate
GMHCI-0249,2021,United States,North America,High,12.62,11.19,0.84,1.022,5.96,2.1,6.01,14.9,43.3,85.1,23.01,5.31,8.5,12.5,37.4,55.0,17.8,57.69,High
GMHCI-0250,2021,Germany,Europe,High,17.73,19.73,2.54,0.531,4.69,3.82,3.93,12.86,32.9,96.8,11.86,10.56,8.4,26.2,70.8,88.6,0.0,65.46,High
GMHCI-0251,2020,Colombia,South America,Upper-Middle,13.13,10.13,1.74,0.91,2.19,3.03,10.88,5.46,55.3,60.8,7.79,3.94,6.4,5.5,26.8,79.6,45.4,50.3,High
GMHCI-0252,2021,Ethiopia,Africa,Low,8.19,6.81,2.23,1.094,3.7,1.5,2.84,4.74,91.3,19.9,0.42,0.87,7.8,15.6,60.5,57.1,75.8,49.49,Moderate
GMHCI-0253,2021,Ghana,Africa,Lower-Middle,5.41,5.59,1.3,0.639,3.43,1.22,3.35,3.37,78.1,41.8,1.62,2.18,9.2,12.2,73.3,58.9,54.9,37.47,Moderate
GMHCI-0254,2019,Ghana,Africa,Lower-Middle,5.43,7.76,3.1,0.282,6.47,3.87,6.71,5.26,82.6,43.2,0.73,1.58,7.9,23.1,37.6,47.0,48.5,41.82,Moderate
GMHCI-0255,2020,South Korea,Asia,High,16.27,21.91,2.95,0.564,3.83,3.21,6.83,6.95,25.1,73.3,23.39,11.57,7.7,4.9,75.6,91.2,25.5,59.84,High
GMHCI-0256,2019,Germany,Europe,High,11.05,16.68,2.42,0.421,6.07,1.59,8.06,10.1,44.5,79.9,9.27,11.49,10.1,3.3,48.8,35.4,14.8,53.57,High
GMHCI-0257,2018,South Africa,Africa,Upper-Middle,14.42,11.81,2.51,1.077,4.29,0.56,10.17,9.8,57.9,49.9,3.14,5.37,6.1,14.9,38.2,37.6,41.2,59.42,High
GMHCI-0258,2015,Argentina,South America,Upper-Middle,11.83,10.73,2.98,0.667,6.68,1.52,7.25,14.99,60.9,60.0,3.98,4.7,10.8,2.8,91.1,77.1,33.1,61.29,High
GMHCI-0259,2019,Norway,Europe,High,13.03,16.96,1.27,0.704,6.75,2.85,2.99,9.15,39.4,71.7,23.83,10.05,3.6,26.9,28.4,79.9,32.1,57.07,High
GMHCI-0260,2024,South Korea,Asia,High,14.9,16.18,2.57,1.14,7.73,3.2,7.67,11.28,34.7,79.0,14.39,5.52,10.3,23.7,32.9,47.8,15.2,58.66,High
GMHCI-0261,2019,United Kingdom,Europe,High,13.66,14.27,0.7,0.418,6.78,2.49,8.12,13.9,37.9,80.6,20.63,10.05,8.2,17.1,42.0,92.2,25.6,60.89,High
GMHCI-0262,2024,Japan,Asia,High,10.96,18.93,1.93,0.703,4.11,3.51,9.18,10.35,53.6,76.8,10.61,9.52,6.2,12.8,77.0,32.9,16.2,57.44,High
GMHCI-0263,2018,Russia,Europe,Upper-Middle,9.68,10.73,0.88,0.671,3.88,1.77,9.79,8.98,55.0,52.5,6.63,4.1,7.1,5.7,44.7,49.8,51.3,51.78,High
GMHCI-0264,2022,Turkey,Asia,Upper-Middle,7.62,11.41,0.99,0.725,3.3,3.09,8.95,12.85,58.6,46.4,6.81,2.09,7.4,22.6,81.7,76.4,44.2,54.4,High
GMHCI-0265,2015,South Africa,Africa,Upper-Middle,11.68,17.68,1.8,1.018,3.47,2.78,4.81,8.85,68.9,56.4,4.53,3.27,3.8,15.8,45.1,90.8,38.2,60.86,High
GMHCI-0266,2019,New Zealand,Oceania,High,13.15,19.66,0.62,0.939,5.48,1.8,9.95,14.6,31.8,87.8,14.41,6.78,6.8,8.1,85.4,27.1,19.2,64.16,High
GMHCI-0267,2021,Argentina,South America,Upper-Middle,10.98,11.34,2.76,0.997,1.47,3.72,3.68,13.83,72.5,65.5,6.52,3.3,3.1,8.6,48.9,75.8,32.1,60.68,High
GMHCI-0268,2015,Germany,Europe,High,8.65,17.11,1.38,0.233,6.12,3.57,2.19,13.36,44.8,83.0,14.36,11.11,7.2,26.4,25.8,81.9,22.1,56.3,High
